candidate,period,scenario,net_usd,account_return_pct,drawdown_usd,intraday_low_drawdown_usd,closed_episodes,fees_usd
sma_eth-070,later_2025,cost,398.4902066462728,3.9849020664627366,439.7446180971492,510.85745524560116,2,44.029153784928
sma_eth-070,later_2025,delay,375.3456979962284,3.7534569799622775,546.5737194923568,617.6356933025036,2,35.0290288565712
sma_eth-070,later_2025,combined,362.54956046993357,3.625495604699336,549.0139044275111,619.6949708274551,2,43.666115954767
sma_eth-070,recent_2026,base,-24.233128854401002,-0.24233128854400654,333.89633192824476,345.05634933784495,5,78.5173046183032
sma_eth-070,recent_2026,cost,-50.931751087602606,-0.5093175108760284,358.3093972024708,369.3897531324001,5,97.78259210670302
sma_eth-070,recent_2026,delay,33.506540517093526,0.3350654051709423,277.3115992170242,305.93323853054426,5,79.2533644834072
sma_eth-070,recent_2026,combined,6.372842560762365,0.06372842560762315,302.1425848219278,320.1228111430355,5,98.69734980083801
sma_eth-080,development,base,-39.74595275733009,-0.39745952757329617,244.91263270643503,291.8168151629943,4,63.38259243922799
sma_eth-080,development,cost,-60.98759299990161,-0.6098759299990153,243.21116324736067,289.78887905351985,4,78.95336990110202
sma_eth-080,development,delay,-216.86500544698902,-2.1686500544698895,319.37700841291735,361.58662496443685,4,61.5553334962888
sma_eth-080,development,combined,-236.87589918552658,-2.3687589918552687,333.3046498468302,375.22213454260964,4,76.68110371162501
sma_eth-080,later_2025,base,433.41829182652145,4.334182918265217,414.78254522521456,492.14895091706785,2,35.4973566002784
sma_eth-080,later_2025,cost,420.3133253540582,4.203133253540581,417.93117447859004,494.8829279749316,2,44.24958941544101
sma_eth-080,later_2025,delay,465.4769642185729,4.654769642185719,459.8063511944438,533.5626655477245,2,35.7558938437272
sma_eth-080,later_2025,combined,452.19734887647974,4.521973488764797,462.71195514794636,536.0729987220839,2,44.571649631021
sma_eth-080,recent_2026,base,42.955377568056065,0.42955377568056896,274.28799729612183,300.3031030943239,4,63.4388803781424
sma_eth-080,recent_2026,cost,21.157457317798617,0.21157457317799722,293.90684438354947,309.3029647305393,4,79.024372830101
